,subject,activitylabel,"angle(tBodyAccJerkMean),gravityMean)","angle(tBodyAccMean,gravity)","angle(tBodyGyroJerkMean,gravityMean)","angle(tBodyGyroMean,gravityMean)","angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)",fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-meanFreq()-X,fBodyAcc-meanFreq()-Y,fBodyAcc-meanFreq()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-meanFreq()-X,fBodyAccJerk-meanFreq()-Y,fBodyAccJerk-meanFreq()-Z,fBodyAccMag-mean(),fBodyAccMag-meanFreq(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-meanFreq(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-meanFreq(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-meanFreq(),fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-meanFreq()-X,fBodyGyro-meanFreq()-Y,fBodyGyro-meanFreq()-Z,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerkMag-mean(),tBodyAccMag-mean(),tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerkMag-mean(),tBodyGyroMag-mean(),tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAccMag-mean(),fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyAccMag-std(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroJerkMag-std(),fBodyBodyGyroMag-std(),fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyAccJerkMag-std(),tBodyAccMag-std(),tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyGyroJerkMag-std(),tBodyGyroMag-std(),tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tGravityAccMag-std()
1,1,LAYING,-0.829818816,-0.9096779542,-0.874759548,-0.1780860953,-0.4686227195,-0.0648962314,-0.931976485,-0.9421187546,-0.9483430226,-0.9322178704,-0.9605869872,-0.9532392948,-0.9997972174,-0.9979056496,-0.994388844,-0.9896065986,-0.9861645352,-0.4853671712,-0.9838882006,-0.9854256262,0.4458177198,-0.8968300184,-0.9077200068,-0.8523662902,-0.899296135,-0.9099387826,0.926607198,0.9302030164,-0.9535888746,-0.9961046416,-0.9833744418,-0.9945657224,-0.1122811745,0.0682548625,-0.0387809327,-0.0949743005,-0.8419291525,-0.7951448639,0.1275149057,-0.0424535701,-0.7801816666,-0.910953921,0.0750624694,0.0583114505,-0.2446239758,-0.4084667085,-0.0405139534,0.2215982439,-0.9280564692,-0.1132035536,-0.8368274056,-0.8260614016,-0.9321111728,0.0079118266,-0.0094174405,0.0864085488,-0.9694108392,-0.9863091536,-0.9897103736,-0.6440961622,-0.7638709682,-0.8173333332,-0.965661218,-0.9844682058,-0.967274797,-0.9608458736,-0.9910523322,-0.9955194022,-0.9861261602,-0.9977716264,-0.9953484832,-0.8502491746,-0.990634675,0.2481726895,-0.9074593992,0.1645735175,0.1780201245,0.0841931444,0.1577279446,0.0354519729,-0.045545088,0.035196352,-0.0644861241,0.7702035598,-0.1072709492,0.1905997455
2,1,SIITING,-0.9520836717,-0.9187667183,-0.93089249,-0.2519807986,-0.5253399023,-0.1597164863,-0.9850843368,-0.9879913138,-0.9835157274,-0.9825139096,-0.9883391849,-0.985119246,-0.9997676626,-0.9997224291,-0.9992119615,-0.9983147579,-0.9996630068,-0.5143127239,-0.9995404428,-0.9991209113,0.3320437028,-0.9684571457,-0.935517056,-0.9490409332,-0.9693409638,-0.9376804589,0.9840925304,0.9847151574,-0.9872067738,-0.9994553572,-0.999186804,-0.9995623323,-0.0484337828,-0.0993814816,0.1177085462,0.0028479848,-0.9485367862,-0.9270784187,0.21750794,-0.1917793987,-0.8754238717,-0.9361426857,0.11381816,0.035064312,-0.7193059142,-0.5770051202,-0.0013082877,0.2612375654,-0.9772290083,-0.1045441823,-0.9226186419,-0.9395862911,-0.9795145845,-0.1713798184,0.1666498138,-0.1129733179,-0.9997267123,-0.9996799049,-0.999771084,-0.8212338709,-0.7954701439,-0.9716312057,-0.9888624979,-0.989690073,-0.9896534245,-0.9989896672,-0.9994134257,-0.9992593572,-0.9987483315,-0.9997992657,-0.9990174072,-0.976161464,-0.999480897,0.2253369378,0.574696193,-0.8795339949,0.1951483266,0.2402994439,0.154667994,0.1458473483,-0.1352598333,0.153241019,-0.0919241549,0.7828540438,-0.0936793807,0.2587338721
3,1,STANDING,-0.9826249889,-0.9766372745,-0.9764937928,-0.1680747527,-0.5097682943,-0.2476925685,-0.998733756,-0.9991006811,-0.9933055574,-0.9870182268,-0.9923498181,-0.993397363,-0.99998668,-0.9999793713,-0.9999135345,-0.9999608368,-0.9999499598,-0.555794507,-0.9995524334,-0.9997669921,0.0134905823,-0.9937629851,-0.9812259579,-0.9763240636,-0.9938100881,-0.9812111521,0.9894923292,0.9894273849,-0.9925874023,-0.9999452092,-0.9997299121,-0.9998501955,0.1191354113,0.1064513999,-0.0374821,-0.2281654763,-0.9842782074,-0.9819429289,0.2109567628,-0.0829516196,-0.8737757285,-0.9464915809,0.1710023791,0.0915966078,-0.358149656,-0.4326138683,-0.0161375901,0.2789176291,-0.9957599015,-0.1106018177,-0.9731900564,-0.979775877,-0.996141354,-0.1866544351,0.1638257222,-0.0367286361,-0.9999284434,-0.9999496528,-0.9999621696,-0.8757984013,-0.7078514908,-0.9094339621,-0.9922287725,-0.9958379509,-0.9910934943,-0.9997884666,-0.9998443768,-0.9997703085,-0.999776926,-0.9999857117,-0.9999316017,-0.986386786,-0.9997846585,-0.2438900631,0.8461751555,-0.8617611762,0.1567542299,0.2632660771,0.2504106617,0.1992525686,-0.1866702524,0.240349538,-0.059397221,0.813972507,-0.0996092129,0.2743048281
4,1,WALKING,-0.3506753125,-0.5576392769,-0.1609795525,-0.2864036762,-0.6258455617,-0.2211913795,-0.3702795221,-0.7166223676,-0.1583661935,0.1067398571,-0.5347134404,0.0187217663,-0.9665562345,-0.7626004268,-0.399169038,-0.7417899733,-0.9337908163,-0.5338146624,-0.8459199039,-0.3382463269,-0.068102864,-0.9766096425,-0.9713059615,-0.9477172261,-0.9769473551,-0.9717013046,0.0991777029,0.4339613472,-0.1257099543,-0.6002425071,-0.4203958495,-0.8686611395,0.0952521854,0.482780546,-0.3345938511,-0.0715513643,-0.1369711766,-0.2196886456,-0.0383923339,-0.1913098605,-0.4680431605,-0.3575681551,-0.1720298575,0.3125326931,0.2592241994,0.0038953803,-0.0173838185,0.2773307587,-0.2837402588,-0.1111481035,0.1144613367,-0.2600279022,-0.3406990213,-0.230007313,0.1657407304,-0.1897892421,-0.455981768,-0.6982190354,-0.9427607952,0.4394693576,-0.7426145983,-0.6378947354,-0.5730579309,-0.7376273178,-0.6506381417,-0.7014629398,-0.3970838193,-0.5164552994,-0.35764279,-0.8070904485,-0.3689555629,-0.3390321971,-0.8809249936,-0.1417614663,0.8259610545,-0.8637801892,0.2941893665,0.1189571183,-0.0221305002,0.0888187275,-0.1339937251,0.0885682061,-0.0695300462,0.2389181044,-0.0899975424,0.2661755818
5,1,WALKING_DOWNSTAIRS,-0.2641137245,-0.3717924772,-0.0757412544,-0.1764746834,-0.4543340353,-0.441510551,-0.5147193073,-0.6925960751,0.0363735707,-0.1345800089,-0.4017214643,0.1228689207,-0.9614574043,-0.6471429792,-0.3784516501,-0.4633572051,-0.9278785449,-0.5640978487,-0.7446348696,-0.5606561976,-0.0621199586,-0.9505598116,-0.937018659,-0.8959396951,-0.9514257482,-0.9378717582,0.2838569536,0.3484437476,-0.0773644452,-0.5050022816,-0.581444712,-0.7734162414,-0.0305953732,0.3777238504,-0.2415329995,-0.251421071,0.0271882914,0.0198843506,0.1899083989,-0.2600829356,-0.4664805263,-0.3845627465,-0.210495166,0.3043524978,0.2470139335,0.1867019788,-0.0099185046,0.2891883204,0.0300353383,-0.1075661909,-0.0319359434,-0.2304342132,-0.0441172245,-0.4516620696,0.4234619609,-0.2958837979,-0.8104100627,-0.8461544182,-0.93837405,0.5593153484,-0.7761685286,-0.681632652,-0.4601479114,-0.7086812098,-0.7366600751,-0.6934974161,-0.6844172202,-0.594216842,-0.6272106086,-0.83404579,-0.4478218706,-0.3524496314,-0.8048144133,-0.206320981,0.8174067673,-0.8790047529,0.2410871277,0.0044812833,-0.1605918986,-0.1208936757,0.0532667656,0.1390745313,-0.090937129,-0.0788326497,-0.0739592036,0.131428911
6,1,WALKING_UPSTARS,-0.3191390348,-0.5416977637,-0.12673559,-0.1135742048,-0.4079926036,0.4959603009,-0.492419166,-0.5098080302,-0.3904137564,-0.3817770653,-0.7260402008,-0.3545040115,-0.9895428775,-0.8757946547,-0.8114962177,-0.7852682594,-0.9691048247,0.2820412254,-0.963511713,-0.7746218215,-0.0754029398,-0.9563670279,-0.9528492332,-0.9123794104,-0.9582450053,-0.9538444274,0.4860609179,0.7013882458,-0.4589879585,-0.8426275,-0.7993122815,-0.9526280104,0.0648164878,0.3148030772,-0.3019085905,-0.2407626047,-0.1299276307,-0.3249709292,-0.305264221,-0.3112940036,-0.4098683423,-0.4007861874,-0.1168370518,0.1502008647,0.1294998435,0.0790799249,-0.0239531493,0.2554616896,-0.3547080251,-0.0973020021,-0.002320265,-0.0194792388,-0.4028327823,0.2799212594,-0.0491976799,-0.0977466063,-0.8769648709,-0.9330532698,-0.9740366615,0.2455902038,-0.80645161,-0.8012578617,-0.758435827,-0.8555113072,-0.8214015079,-0.5870257079,-0.8586758626,-0.8604962423,-0.8482673074,-0.9336654215,-0.792298457,-0.4926116679,-0.9521590692,0.0141336507,0.7193423485,-0.769715006,0.2352776926,0.0753419995,-0.1660823536,-0.3390983015,0.2487943259,-0.1373597477,-0.1661700151,0.4215158884,-0.122232768,0.1919801486
7,2,LAYING,-0.9664882848,-0.9372385169,-0.9500115696,-0.2152265266,-0.5194493612,-0.0779488663,-0.9991742617,-0.9994043769,-0.9808822808,-0.9849873929,-0.9893453685,-0.9833148965,-0.9999361404,-0.9998257175,-0.9994507375,-0.9988299233,-0.9998680958,-0.7727719634,-0.9988993988,-0.9996227913,0.6468348796,-0.9590144415,-0.9882118652,-0.9842304181,-0.9620749365,-0.9885742319,0.9848355398,0.9846019808,-0.9876305069,-0.9996490998,-0.9995399171,-0.9997231521,-0.0140926961,0.089930158,0.0414978802,-0.0966764838,-0.9774354852,-0.9728739129,0.2885096658,-0.1411973374,-0.871492135,-0.951765409,0.0794291981,0.001166771,-0.4788791959,-0.5430544636,-0.0181587398,0.281373404,-0.9740594648,-0.1072456104,-0.9802773988,-0.9842332969,-0.9766069665,-0.144698463,0.1169054819,-0.1412032339,-0.9999073508,-0.9999153046,-0.99990293,-0.86483757,-0.8467741939,-0.8291666669,-0.9891405585,-0.9905366773,-0.9898758085,-0.9997133508,-0.9997450417,-0.9996208567,-0.9996870888,-0.9999180633,-0.9993913238,-0.9864311425,-0.9996138775,0.2705147837,-0.9804684035,0.1474383331,0.1561605482,0.1145526764,0.1421203804,0.2296522551,-0.1838358887,0.1889039794,-0.1118008246,0.8257425317,-0.1019741342,0.1426767616
8,2,SIITING,-0.9649998637,-0.9189916402,-0.9460350872,-0.3562196363,-0.6316549622,-0.0737132346,-0.9944529096,-0.9959015802,-0.9862376893,-0.9808042285,-0.9885708041,-0.9861810691,-0.9998768291,-0.9999276698,-0.9997067298,-0.9993460546,-0.9998166691,-0.3895462469,-0.9993472074,-0.9995712283,0.1987267688,-0.9799887609,-0.956750273,-0.954415873,-0.9811693015,-0.9593592872,0.9791122767,0.9840571391,-0.9867277687,-0.9997923702,-0.9994571296,-0.9997015974,-0.0820208262,0.0587966713,0.1926362369,-0.2531337827,-0.9678936239,-0.9530814441,0.2121134478,-0.1510453538,-0.8848302848,-0.9413247293,0.037560153,0.1505811036,-0.5512293188,-0.2870946052,-0.0156879937,0.2770873517,-0.9868222796,-0.1092182725,-0.9507044991,-0.9598281717,-0.9885944937,-0.052086835,0.0884338521,-0.0465395787,-0.9998976661,-0.9998465674,-0.9998390739,-0.7759251141,-0.6676016829,-0.8826086954,-0.98896804,-0.9923817298,-0.9833735357,-0.999533993,-0.9997991376,-0.9994924928,-0.9993484343,-0.999949787,-0.9996880109,-0.9826213896,-0.9996453526,-0.2710700802,0.8403628228,-0.9783508457,0.179573101,0.2140661206,0.2629116632,0.1084948655,-0.1306663689,0.1651774005,-0.0599286797,0.787973085,-0.0936328413,0.2060408797
9,2,STANDING,-0.9560522315,-0.971112472,-0.9634663419,-0.3003444992,-0.6365701837,-0.2984953593,-0.9978992687,-0.9952806948,-0.9803795967,-0.9735202411,-0.9845999052,-0.9784694507,-0.9998897752,-0.9998514398,-0.9990210728,-0.9997812994,-0.9994260933,-0.4396299184,-0.9981982991,-0.9990528509,0.1297471612,-0.9866858187,-0.9741944204,-0.9459270787,-0.986895013,-0.9748061222,0.977089788,0.9791448539,-0.9803087724,-0.99939239,-0.99893307,-0.9994842169,0.1182686938,0.0487083978,0.0278048061,-0.36090978,-0.9658751813,-0.957874965,0.2314043129,-0.0553616232,-0.8604891241,-0.9315010187,0.1448971611,0.0462759689,-0.32771397,-0.414833355,-0.018420827,0.2779114722,-0.9872718893,-0.1059085361,-0.9573049893,-0.9497418513,-0.98934137,-0.0767830144,0.1338256724,-0.0598797868,-0.9992586906,-0.9993823311,-0.9995419824,-0.7209116872,-0.7144563917,-0.9296296293,-0.9860567581,-0.9895287035,-0.9852729637,-0.9991265291,-0.9994675887,-0.9989704328,-0.9993616393,-0.999810603,-0.9995139526,-0.967037112,-0.999441678,0.1584229125,0.728349483,-0.7562861828,0.2600060413,0.2566940461,0.2427219497,0.0593805881,-0.0833008973,0.1844504016,-0.0820396578,0.7945529694,-0.1055621579,0.1482688912
10,2,WALKING,-0.543651468,-0.6458535131,-0.4465490929,-0.2394933019,-0.5467942865,-0.2743015567,-0.5662923047,-0.8271363308,-0.2658668256,-0.015332952,-0.6158981885,-0.1758904973,-0.9704364568,-0.8810625505,-0.5464882955,-0.8367125603,-0.8385389924,-0.7248498815,-0.9187853514,-0.5055799578,0.0847270871,-0.9726932014,-0.9721168797,-0.9720728476,-0.9731234717,-0.9724119308,0.1079479191,0.5036625671,-0.2767363303,-0.7322005417,-0.4987078228,-0.9082822166,-0.3659929478,0.338116582,0.0648991809,-0.2334327343,-0.2904075937,-0.4225441693,-0.0127912809,-0.2785167978,-0.4893391459,-0.5981876817,-0.3559239172,0.3363334695,0.1429445471,0.0968305507,-0.0185949199,0.2764265864,-0.4236428385,-0.105500358,-0.0780912533,-0.4252575249,-0.460983072,-0.1537997096,0.0428938016,-0.011170859,-0.8711325747,-0.7713324093,-0.8020230373,0.3735879012,-0.7594313798,-0.7570621447,-0.6403143192,-0.7661863346,-0.6518059575,-0.7517266497,-0.7725008239,-0.3145513028,-0.7612444446,-0.950924449,-0.6184942493,-0.4297135361,-0.8745011431,0.0045904676,0.7688374222,-0.7916328661,0.2834913656,0.1690759899,-0.1407053597,0.2285288781,-0.1525354902,-0.1122749992,-0.0482382317,0.3487512398,-0.0818833429,-0.1885918497
